userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,32,5.0
1,33,5.0
1,42,3.0
1,53,5.0
1,58,4.0
1,69,5.0
1,71,5.0
1,77,5.0
1,107,5.0
1,112,3.0
1,116,5.0
1,119,4.0
1,135,5.0
1,156,3.0
1,167,3.0
1,175,5.0
1,186,4.0
1,193,4.0
1,199,5.0
1,202,4.0
1,221,3.0
1,228,4.0
1,234,5.0
1,244,4.0
1,253,3.0
1,264,5.0
1,275,4.0
1,278,4.0
1,279,5.0
1,286,4.0
1,287,4.0
1,288,4.0
1,291,5.0
1,295,5.0
1,304,3.0
1,305,5.0
1,308,3.0
1,320,4.0
1,321,3.0
1,328,3.0
1,336,4.0
1,362,5.0
1,365,5.0
1,369,5.0
1,370,4.0
1,371,5.0
1,380,3.0
1,381,5.0
1,382,5.0
1,383,5.0
1,385,5.0
1,386,3.0
1,387,5.0
1,388,5.0
1,390,4.0
1,392,5.0
1,394,4.0
1,397,5.0
1,400,5.0
1,405,5.0
1,406,4.0
1,407,5.0
1,411,5.0
1,416,4.0
1,417,5.0
1,422,5.0
1,423,5.0
1,424,5.0
1,428,5.0
1,429,4.0
1,430,5.0
1,432,5.0
1,433,4.0
1,434,2.0
1,435,5.0
1,436,5.0
1,437,5.0
1,439,5.0
1,440,5.0
1,444,5.0
1,445,3.0
1,448,4.0
1,450,5.0
1,452,5.0
1,453,5.0
1,455,5.0
1,458,5.0
1,459,5.0
1,464,4.0
1,469,3.0
1,472,3.0
1,474,3.0
1,476,3.0
1,479,4.0
1,480,4.0
1,481,5.0
1,484,4.0
1,485,5.0
1,486,3.0
1,489,5.0
1,496,5.0
1,498,4.0
1,499,5.0
1,502,3.0
1,505,3.0
1,512,5.0
1,515,4.0
1,517,4.0
1,518,5.0
1,519,4.0
1,535,4.0
1,537,5.0
1,539,5.0
1,541,4.0
1,544,4.0
1,547,5.0
1,549,4.0
1,550,5.0
1,554,4.0
1,555,5.0
1,556,4.0
1,557,5.0
1,558,4.0
1,559,5.0
1,562,5.0
1,566,5.0
1,567,3.0
1,568,5.0
1,569,4.0
1,570,4.0
1,572,4.0
1,574,5.0
1,575,5.0
1,576,5.0
1,577,5.0
1,578,5.0
1,579,4.0
1,582,5.0
1,583,4.0
1,585,4.0
1,588,2.0
1,589,4.0
1,590,4.0
1,594,5.0
1,597,5.0
1,599,2.0
1,601,5.0
1,603,4.0
1,604,5.0
1,605,2.0
1,607,5.0
1,608,4.0
1,609,3.0
1,612,5.0
1,613,4.0
1,614,5.0
1,616,5.0
1,617,4.0
1,619,4.0
1,620,5.0
1,621,3.0
1,622,5.0
1,624,5.0
1,625,5.0
1,627,5.0
1,630,5.0
1,632,4.0
1,633,2.0
1,634,4.0
1,635,4.0
1,636,5.0
1,637,4.0
1,638,4.0
1,639,5.0
1,640,3.0
1,644,5.0
1,646,5.0
1,649,5.0
1,651,5.0
1,656,4.0
1,657,4.0
1,660,5.0
1,661,5.0
1,664,5.0
1,666,4.0
1,669,5.0
1,670,5.0
1,671,5.0
1,672,5.0
1,673,5.0
1,675,4.0
1,676,5.0
1,677,5.0
1,678,5.0
1,679,4.0
1,681,5.0
1,682,5.0
1,684,5.0
1,685,5.0
1,687,4.0
1,691,5.0
1,694,4.0
1,697,1.0
1,700,3.0
1,701,3.0
1,702,5.0
1,704,5.0
1,711,5.0
1,714,4.0
1,715,4.0
1,716,5.0
1,717,5.0
1,718,5.0
1,719,4.0
1,721,4.0
1,726,4.0
1,730,5.0
1,732,4.0
1,735,4.0
1,737,5.0
1,738,5.0
1,739,5.0
1,741,5.0
1,743,4.0
1,744,4.0
1,747,5.0
1,749,4.0
1,766,4.0
1,816,5.0
2,169,3.0
2,175,4.0
2,509,4.5
2,730,4.0
2,868,4.0
2,899,3.5
2,946,4.0
2,949,4.0
2,967,4.5
2,973,5.0
2,982,4.5
2,994,3.0
2,1005,4.0
2,1006,3.0
2,1010,4.0
2,1011,4.5
2,1013,5.0
2,1023,4.0
2,1029,5.0
2,1032,3.5
2,1033,2.5
2,1046,3.5
2,1057,5.0
2,1060,3.0
2,1065,4.0
2,1070,2.0
2,1072,3.5
2,1075,5.0
2,1081,5.0
3,22,0.5
3,264,0.5
3,303,0.5
